SN,Yr_disclosure,Regions,Codes,Number_of_StudR,Number_of_StudE,Student_participation_rates_to_ODC,Number_of_student_participating_ODC,Employed_students_to_CEA,Number_of_Departments_participating_ODC,Number_of_CEA,Difference_of_lecture_sizeclass,sizeclass_equal_under30,sizeclass_over30,ShannonD_for_lecture_credits,ShannonD_for_major_credits,Evenness_for_major_credits,Number_of_students_for_major_credits,ShannonD_for_liberal_credits,Evenness_for_liberal_credits,Number_of_students_for_liberal_credits,Number_of_capstone_students,Capstone_funds,TPTC_per_1K,TPTC,Number_of_volunteer_CL/PG_per_1K,Number_of_volunteer_CL/PG_students,Number_of_volunteer_CL/PG,Rates_of_volunteer_CL/PG_students_to_total_students,Library_literature_per_student,Library_spenditure_per_student,Number_of_StudE_per_faculty,Number_of_StudR_per_faculty,Number_of_entrepreneurship_CL_students,Number_of_entrepreneurship_PG_students,Number_of_entrepreneurship_CLPG_totalstudents,Number_of_entrepreneurship_faculty,entrepreneurship_funds(college),entrepreneurship_funds(business),startup_funds,fund_per_ntrepreneurship_student,startup_supporting_fund,Rates_of_faculty(StudE),Rates_of_faculty(StudR),Faculty_book_publications,factulty_paper_publications,Land_rates(StudE),Land_rates(StudR),Building_rates(StudE),Building_rates(StudR),Total_funds_of_financial_supports,Number_of_financial_support_projects,Total_GF,Number_of_GF_projects,Total_LGF,Number_of_LGF_projects,Financial_supports_per_StudE,Income_of_CIC,total_income_of_CIC,Educational_supports_fee_per_StudE,total_educational_support_fee,total_scholarship_outside,national_scholarship,total_scholarship_inside,disaster_scholaship,total_scholarship,scholarship_per_StudE,Registered_faculty_class_credits,Contract_based_faculty_class credits,Registered_faculty_credit_ratio,Contract_based_faculty_credit_ratio,Total_credits,Average_graduated_scores,Average_graduated_scores_100,Graduate_ShannonD,Graduate_evenness,Number_of_graduates,Number_of_employed,Number_of_exceptions_employment,Freelance,Founders,Industry_faculty_hired,Industry_faculty_designated,Industry_faculty_contract,Industry_faculty_career_less5yr,Industry_faculty_career_over5yr,Ind_facult_over_to_under,Industry_faculty_per_1K,Over5yr_ratio_per_1K,Safety_faculty_ratio,Safety_manage_budget_SCI,Safety_manage_budget_spenditure,Employment_rates
211,2020,10_Gangwon,C085,885,946,0,0,0,0,0,0.285,499,142,1.911,1.889,0.86,11465,1.933,0.88,1700,182,3436702,29.598,28,4.228,179,4,0.189,44.6,20854.2,29.5,31.53,996,41,1037,0,0,0,0,0,0,68.18,63.83,0.057,0.126,1853.1,1957.2,236,249.3,189688000,6,0,0,189688000,6,200515.856,32622800,239522868,10323491.3,10044757019,2660017190,2539252050,883393153,0,3543410343,3781654.6,687,808,0.46,0.54,1495,3.42,86.54,1.602,0.823,362,196,32,0,9,0,0,0,0.5,0.5,100,0,105.708,0,2322000,19.513,72.2
212,2020,10_Gangwon,C086,480,441,0,0,0,0,0,0.36,175,63,1.587,1.657,0.754,4704,1.518,0.691,1146,0,0,31.746,14,4.535,140,2,0.317,33.4,10392.7,32,29.4,92,10,102,1,1231500,0,1231500,12073.529,0,62.5,65.22,0,0.586,873.2,950.5,242.2,263.6,200450000,5,90450000,2,110000000,3,454535.147,83674651,163537300,11595813.4,4986199782,1058911000,995961000,920282000,0,1979193000,5074853.8,320,313,0.506,0.494,633,3.52,86.32,1.533,0.737,140,75,16,0,8,0,1,0,1,0,0,2.268,0,0,18679239,0,68.2
213,2020,10_Gangwon,C087,2609,2974,8.47,252,55,9,125,1.072,740,793,1.96,1.977,0.9,37949,1.942,0.884,5992,0,0,51.446,153,10.087,1385,30,0.466,49.2,29574.4,33.03,37.65,1901,18,1919,4,2403950,156000000,158403950,82545.05,158403950,63.71,55.63,0.081,0.163,234.6,229.3,124.9,122,5867909150,19,5331564150,6,536345000,13,1973069.654,86449788,2664380608,10342864.2,32311107783,8610641630,8374756880,2762563000,0,11373204630,3713093.3,2085,1543,0.575,0.425,3628,3.43,86.03,1.669,0.858,1206,778,209,0,9,0,0,0,0.5,0.5,100,0,33.625,50,0,0,76.5
214,2020,11_Chungbuk,C088,3874,3534,7.13,252,92,10,82,0.427,1311,560,2.021,1.98,0.901,43622,2.063,0.939,6177,357,21723738,90.549,320,7.923,881,28,0.249,35.2,27849.8,36.55,33.34,1696,126,1822,2,0,262116158,262116158,143861.777,12043870,57.3,62.35,0.051,0.149,163.8,177.3,121.9,131.9,7064376830,24,6776576830,12,287800000,12,1998974.768,120154870,7595459043,10485568.9,39457195757,9594676687,9516651107,3162044730,0,12756721417,3498826.5,2517.4,1919.2,0.567,0.433,4436.6,3.3,84.41,1.734,0.789,1464,939,130,12,36,17,0,0,0.417,0.583,140,4.81,39.615,50,0,0,71.6
215,2020,11_Chungbuk,C089,2535,2412,0,0,0,0,0,0.404,977,395,1.983,2.001,0.911,32442,1.966,0.895,4551,694,50611640,90.381,218,15.755,735,38,0.305,35.1,30572.9,32.92,31.32,1250,0,1250,3,0,0,0,0,0,62.6,66.38,0.084,0.14,513.7,503.7,199.4,195.5,4455504000,9,4410864000,8,44640000,1,1847223.881,564381579,5964047178,12021769.8,29922185155,6836488618,6581982268,2677818320,0,9514306938,3877060.7,1802.7,1549.3,0.538,0.462,3352,3.25,87.36,1.583,0.884,975,634,103,0,9,1,0,0,0.091,0.909,1000,0.415,414.594,50,22531310,123.29,74.8
216,2020,11_Chungbuk,C090,880,837,0,0,0,0,0,0.382,317,121,1.939,1.933,0.88,10350,1.945,0.885,1841,0,0,163.68,137,0,0,0,0,81.4,57650.8,29.33,27.9,84,181,265,1,24625000,119135060,143760060,542490.792,0,69.77,71.43,0,0.019,465.3,496.7,287.4,307.1,1014975000,20,802275000,11,212700000,9,1212634.409,71302983,2728785280,0,0,1228237690,1192374570,461344910,0,1689582600,1933160.9,579,635,0.477,0.523,1214,3.32,87.19,1.582,0.883,422,236,73,3,6,0,0,0,0,0,0,0,0,0,6899610,30.529,65.9
217,2020,11_Chungbuk,C091,2648,2631,7.6,200,63,7,159,0.823,755,621,1.978,1.941,0.883,38418,2.014,0.917,3063,175,34466707,31.167,82,7.602,1209,20,0.46,45.1,14302.9,31.52,31.32,2058,64,2122,3,0,20742130,20742130,9774.802,20742130,64.12,65.12,0.013,0.105,439,474.7,120,129.8,5212866000,10,5141766000,7,71100000,3,1981324.971,824774343,6033077915,10670700.9,29205708260,6496791550,6360779150,2308147516,0,8804939066,3311372.3,2067.2,1495.8,0.58,0.42,3563,3.33,84.86,1.699,0.773,1003,755,123,0,17,0,0,2,0.286,0.714,250,0.76,95.021,50,18638630,221.888,76.9
218,2020,11_Chungbuk,C092,3776,3888,0.54,21,0,2,2,0.468,1541,721,1.944,1.973,0.898,52235,1.916,0.872,9416,814,105326720,122.942,478,5.658,457,22,0.118,37.6,36446.5,33.42,34.41,545,304,849,1,0,122162815,122162815,143890.241,122162815,62.09,60.43,0.029,0.068,187.5,190.8,170.4,173.3,5873389220,18,5548765220,8,324624000,10,1510645.376,618079821,3048340365,10568930.7,44886248488,10928639316,10805461840,3609749360,0,14538388676,3527023,2897,3553,0.449,0.551,6450,3.51,86.53,1.693,0.814,1684,1249,219,7,24,4,17,2,0.222,0.778,350,5.916,90.021,33.333,55447000,1110.141,70.9
219,2020,12_Chungnam,C093,5407,5754,6.17,355,138,18,176,0.408,2982,1216,1.968,1.979,0.901,66306,1.956,0.89,17981,470,43221740,99.062,570,0.695,618,4,0.107,34.7,22873.5,29.23,31.1,4246,455,4701,2,10286220,70754880,81041100,17239.119,81041100,72.83,68.52,0.075,0.225,189,183.4,129.6,125.8,7490387000,20,6542796000,13,947591000,7,1301770.421,204209395,7490809204,10327352.9,58649037115,14036741410,13858345740,5286557930,0,19323299340,3506950.9,4433,3591,0.552,0.448,8024,3.45,88.01,1.748,0.898,2009,1138,326,0,15,5,19,0,0.378,0.622,164.286,4.171,28.552,33.333,41103040,215.877,66.1
220,2020,12_Chungnam,C094,3643,3678,5.98,220,68,8,90,0.555,1263,701,1.968,1.997,0.909,47746,1.939,0.882,6340,436,125067803,118.815,437,7.341,825,27,0.224,47.3,44024.1,30.87,31.17,807,158,965,2,0,75073989,75073989,77796.88,75073989,66.67,65.19,0.076,0.159,361.5,380.9,163.9,172.7,5230735000,13,5055078000,7,175657000,6,1422168.298,720442478,5846955521,10806326.2,42371605186,10069664340,9740704550,3558592780,0,13628257120,3563874.8,3119,2432,0.562,0.438,5551,3.43,87.79,1.709,0.822,1519,1056,108,2,13,1,7,0,0.161,0.839,520,2.175,141.381,50,323470,0.494,77.2
221,2020,12_Chungnam,C095,988,910,0,0,0,0,0,0.246,443,109,1.851,1.933,0.88,8565,1.769,0.805,1444,750,106797859,506.593,461,3.297,25,3,0.027,38.7,30472,38,35,499,179,678,2,0,363585190,363585190,536261.342,230385541,52,56.52,0.039,0.154,2801.5,3041.6,206.6,224.4,3225043000,9,2860043000,5,365000000,4,3544003.297,145408434,3817406149,12691637.6,12234738694,2004257823,1976988193,949161290,0,2953419113,3089350.5,748,489,0.605,0.395,1237,3.36,87.63,1.51,0.843,504,231,17,0,5,5,21,3,0,1,0,31.868,0,0,55487940,554.879,73
222,2020,12_Chungnam,C096,966,1105,0,0,0,0,0,0.51,345,176,2.028,2.02,0.92,10600,2.036,0.927,2814,0,0,293.213,324,3.62,435,4,0.394,53.8,29701.5,30.19,34.53,923,948,1871,1,0,0,0,0,26594550,65.31,57.14,0.127,0.082,4753.8,2209.8,381.6,354.8,6337617758,27,6223617758,25,114000000,2,5735400.686,362433186,6606744720,27464152.8,28754968007,3054715860,2790729540,873426940,0,3928142800,3802655.2,832,637,0.566,0.434,1469,3.05,84.44,1.734,0.891,474,284,71,0,3,5,0,0,0.143,0.857,600,4.525,542.986,0,5513520,55.135,72.3
223,2020,12_Chungnam,C097,942,988,98.28,971,3,15,125,0.207,579,120,1.957,1.951,0.888,6871,1.962,0.893,8640,282,35419300,84.008,83,3.036,526,3,0.532,61.4,40071.1,29.44,30.88,162,175,337,3,0,0,0,0,8827930,69.57,68.09,0.025,0.14,540.7,1262.8,319.4,373,3290478600,20,2563137000,7,727341600,13,3330443.927,202221866,3316290991,0,0,1575517180,1399690420,780281190,0,2355798370,2300584.3,587,1329,0.306,0.694,1916,3.18,83.28,1.741,0.792,512,297,40,15,5,0,6,0,0,0,0,6.073,0,0,8648750,129.086,66.7
224,2020,12_Chungnam,C098,2838,2635,1.94,51,0,2,2,0.556,1009,561,1.955,2.003,0.912,36910,1.908,0.868,6245,0,0,102.087,269,1.898,313,5,0.119,59.7,26576.7,36.38,33.78,1387,177,1564,3,400000,2273000,2673000,1709.079,0,56.12,60,0,0.081,177,199.4,118.7,133.8,3938500000,12,3367500000,4,571000000,8,1494686.907,215151055,1499786775,10881440.5,30805357992,7200795870,6983428890,2460355670,0,9661151540,3514424,1711,1929,0.47,0.53,3640,3.19,83.17,1.701,0.818,1047,788,95,0,7,1,0,0,0.133,0.867,650,0.38,246.679,0,5052000,24.465,74.7
225,2020,13_Kyungbuk,C099,1734,1821,6.97,127,23,6,40,0.7,594,416,2.01,1.959,0.891,25239,2.061,0.938,3417,132,18493080,23.064,42,2.746,175,5,0.096,59.5,33806,33.35,35.02,449,179,628,0,1500000,45208825,46708825,74377.11,0,62.65,59.77,0.055,0.123,214,231,192.7,208.1,5500176238,33,4891745450,9,608430788,24,3020415.287,699899186,1956973235,11766668.9,22180170936,4977404404,4904006844,2105723940,0,7083128344,3893968.3,1275.2,1266.9,0.502,0.498,2542.1,3.44,86.19,1.665,0.856,605,510,36,0,6,0,0,0,0.267,0.733,275,0,151.016,0,22507580,296.152,78.1
226,2020,13_Kyungbuk,C100,1719,1655,0,0,0,0,0,0.68,603,410,1.857,1.859,0.846,22523,1.855,0.844,4991,48,362000,0,0,1.208,192,2,0.116,60.8,13823,33.06,31.83,614,92,706,3,2834000,0,2834000,4014.164,0,63.41,65,0.042,0.144,848.3,914,0,0,191350000,5,88870000,3,102480000,2,115619.335,65843161,301513883,18103393.3,25797335389,3663921420,3649771420,1872103983,0,5536025403,3977029.7,1137.5,857.3,0.57,0.43,1994.8,3.4,82.19,1.524,0.733,522,341,71,0,24,0,0,0,0.25,0.75,300,0,181.269,0,10032760,10.885,70.7
227,2020,13_Kyungbuk,C101,910,856,0,0,0,0,0,0.093,569,53,1.91,1.913,0.871,11989,1.908,0.868,2234,194,31356550,61.916,53,4.673,292,4,0.341,68.6,57647.9,32.5,30.57,227,236,463,4,8482000,5000000,13482000,29118.79,8482000,63.64,66.67,0,0.045,1001.6,1168.5,283.5,330.8,2942456190,24,1866785000,6,1075671190,18,3437448.82,442861640,4381970803,0,0,992891250,945937740,568460280,0,1561351530,1878882.7,490,930,0.345,0.655,1420,3.4,88.17,1.524,0.947,307,197,65,0,8,0,0,3,0,1,0,3.505,0,0,0,0,72.8
228,2020,13_Kyungbuk,C102,1177,1250,8,100,63,5,53,0.887,416,369,1.766,1.777,0.809,18601,1.754,0.798,3144,396,40568390,40,50,16.8,639,21,0.511,36.1,34703.2,29.43,31.25,391,66,457,1,0,5084200,5084200,11125.164,5084200,66.67,63.49,0.006,0.202,157,151.2,145.8,140.4,1867900000,1,1867900000,1,0,0,1494320,10020817,542712598,10576491.3,13728285711,3297455871,3264693060,1206408740,0,4503864611,3518644.2,938.7,637.3,0.596,0.404,1576,3.45,86.41,1.461,0.815,371,319,8,0,1,0,0,0,0.211,0.789,375,0,300,50,84079,0.989,80.5
229,2020,13_Kyungbuk,C103,2315,2853,4.73,135,34,5,29,1.222,639,781,1.882,1.873,0.853,38171,1.891,0.86,5950,334,16956720,56.081,160,0.351,15,1,0.005,45,19907.3,27.89,34.37,248,64,312,1,0,6060000,6060000,19423.077,0,74.11,60.58,0.062,0.13,396.1,365.3,188.4,173.8,5691586549,17,4271789600,3,1419796949,14,1994947.967,375378394,7063939334,11093483.8,31638615882,8179455560,8055855340,2921800480,0,11101256040,3956256.6,1725.6,1482.4,0.538,0.462,3208,3.47,87.36,1.694,0.771,1125,676,180,0,7,1,1,0,0.255,0.745,291.667,0.701,102.232,50,9276000,32.253,77.8
230,2020,13_Kyungbuk,C104,3645,5022,5.32,267,112,9,159,0.704,1326,933,1.857,1.813,0.825,56202,1.901,0.865,8943,270,87657454,34.05,171,2.19,328,11,0.065,35.2,12712.4,29.63,40.83,1296,303,1599,1,0,5000000,5000000,3126.954,5000000,68.33,50,0.008,0.008,138.8,117.6,113.6,96.3,9171367321,32,7629529140,12,1541838181,20,1826238.017,1939452528,9184906638,10842773.9,56978776866,15330569627,15176816027,8989192330,0,24319761957,4812935.3,3271,2691,0.549,0.451,5962,3.54,87.38,1.469,0.82,2188,1416,229,0,43,16,5,0,0.326,0.674,207.143,4.182,41.247,33.333,11547150,76.981,78.6
231,2020,13_Kyungbuk,C105,3866,4109,4.21,173,23,10,22,0.458,1656,759,1.968,1.935,0.881,54864,2.001,0.911,9448,1768,76020617,106.595,438,0.487,4,2,0.001,31.7,21637.1,35.15,37.35,1215,236,1451,15,700000,189849000,190549000,131322.536,190549000,58.82,55.28,0.032,0.125,260.8,251.9,137.8,137.5,5699554000,32,5160337000,10,539217000,22,1387090.29,523152255,2419254388,9208417.8,39725114361,10448388997,10340398877,3460230525,0,13908619522,3375059.3,2469.4,3128.6,0.441,0.559,5598,3.35,84.41,1.696,0.816,1483,873,224,115,47,6,0,0,0.163,0.837,514.286,1.46,125.161,50,0,0,69
232,2020,13_Kyungbuk,C107,832,890,0,0,0,0,0,1.084,323,350,1.898,1.906,0.867,14094,1.89,0.86,3663,104,8456630,33.708,30,12.36,581,11,0.653,47.3,25250.9,27.73,29.67,259,43,302,4,0,83206499,83206499,275518.209,83206499,73.17,68.18,0.018,0.268,6366.1,6462.4,157.9,160.3,4741022990,20,1974630000,7,2766392990,13,5326992.124,80190906,4209826468,14736930.1,12909550766,2935594086,2599198126,682716700,0,3618310786,4178188,469,693,0.404,0.596,1162,3.45,86.48,1.561,0.802,266,203,29,0,8,2,1,0,0,1,0,3.371,0,0,19068420,529.678,84
233,2020,13_Kyungbuk,C108,650,633,0,0,0,0,0,0.437,300,131,1.943,1.958,0.891,9233,1.928,0.878,2102,122,4200360,4.739,3,17.378,422,11,0.667,168.6,38642.2,27.08,26.38,267,0,267,1,35436400,0,35436400,132720.599,0,72.73,75,0.229,0.068,1640.1,1696.3,521.2,539,742082225,9,339827225,3,402255000,6,1172325.79,0,968324464,12687760.3,8627677002,1804562954,1785216454,491579980,0,2296142934,3361849.1,486.8,531.2,0.478,0.522,1018,3.33,85.54,1.582,0.883,248,172,31,0,2,0,0,0,0,1,0,0,0,0,23818120,286.965,73.3
234,2020,13_Kyungbuk,C109,2215,2330,0,0,0,0,0,0.892,753,672,1.859,1.874,0.853,35768,1.845,0.84,6056,172,23371780,0,0,1.288,1304,3,0.56,32.7,22361,31.2,32.82,843,222,1065,1,0,58259070,58259070,54703.352,36976300,65.74,62.28,0.147,0.03,141,142.7,133.7,135.3,3019830000,10,2604300000,1,415530000,9,1296064.378,0,401661893,8903028.9,21367269290,6393022878,6345222878,1897937610,0,8290960488,3507174.5,1480.8,1199.3,0.553,0.447,2680.1,3.38,85.23,1.53,0.696,813,670,53,6,6,1,0,0,0.381,0.619,162.5,0.429,69.742,50,0,0,74
235,2020,13_Kyungbuk,C110,1273,1602,0,0,0,0,0,0.767,480,368,1.743,1.776,0.808,18870,1.711,0.779,4780,322,5913140,0,0,2.497,758,4,0.473,30.2,21600,26.52,33.38,651,20,671,1,7000000,6000000,13000000,19374.069,13000000,88.89,71.64,0.093,0.322,512.9,427.7,151.5,126.4,2509691000,9,2195000000,4,314691000,5,1566598.627,28100903,334545766,7875119,12915195235,3419240184,3412320904,2386270220,0,5805510404,3630713.2,1222,934,0.567,0.433,2156,3.31,85.21,1.424,0.685,714,365,44,0,32,1,0,0,0.567,0.433,76.471,0.624,47.734,0,18479220,582.941,71.1
236,2020,13_Kyungbuk,C111,2628,2612,5.32,139,38,6,54,0.749,1012,758,2.003,1.98,0.901,41654,2.027,0.923,6032,294,40488689,55.13,144,4.977,1027,13,0.393,50.2,36172.4,29.86,29.68,789,167,956,1,61440080,0,61440080,64267.866,5500000,67.18,67.69,0.016,0.078,173.1,175.1,114.7,116,4695870000,18,4377810000,5,318060000,13,1797806.279,157037256,4620493283,11230878.6,30031369290,6790045410,6637152670,2650669279,0,9440714689,3586897.7,1722,1939,0.47,0.53,3661,3.34,85.02,1.66,0.798,925,666,120,0,5,3,0,0,0.222,0.778,350,1.149,133.997,50,46556720,243.167,76.3
237,2020,13_Kyungbuk,C112,939,503,0,0,0,0,0,0.316,228,72,1.884,1.816,0.827,8070,1.952,0.888,1540,0,0,3.976,2,7.952,186,4,0.37,43.9,740.1,58.69,31.44,59,0,59,0,0,0,0,0,0,37.21,69.57,0,0.25,1853.4,3133.7,205.9,348.1,0,0,0,0,0,0,0,0,0,6144255.5,3287176706,215421880,209636880,1033432570,0,1248854450,2397033.5,426,309,0.58,0.42,735,3.32,86.5,1.564,0.873,212,182,24,0,17,0,0,0,0.3,0.7,233.333,0,463.883,0,44997100,8999.42,66.7
238,2020,13_Kyungbuk,C113,1857,1823,0.88,16,3,1,1,0.536,657,352,1.901,1.921,0.874,21854,1.88,0.856,4999,268,16721564,24.685,45,1.646,369,3,0.202,51.4,22784.4,29.95,29.4,344,119,463,3,7535000,15000000,22535000,48671.706,22535000,68.13,68.89,0.079,0.123,754.1,737.3,295,288.4,2380376000,20,766876000,4,1613500000,16,1305746.572,115440608,4576556243,10897193.1,20323265180,5504562114,5353118114,1409569650,0,6914131764,3845457,1323,1067,0.554,0.446,2390,3.43,85.33,1.735,0.79,676,528,41,0,10,0,3,0,0.111,0.889,800,1.646,438.837,50,13334110,162.611,70.3
239,2020,13_Kyungbuk,C115,1776,1923,0,0,0,0,0,0.619,734,454,1.798,1.809,0.823,24898,1.787,0.813,4358,0,0,14.041,27,3.12,517,6,0.269,0,0,30.62,33.16,47,38,85,1,0,5000000,5000000,58823.529,0,68.24,63.74,0.054,0.034,116,126.1,176.1,191.3,3656480000,6,3534480000,4,122000000,2,1901445.658,0,3539199574,10745509.3,20781815042,5234473970,5206659470,2010343080,0,7244817050,3839330.7,1258,1530,0.451,0.549,2788,3.38,85.3,1.439,0.692,709,481,67,0,38,0,4,4,0.176,0.824,466.667,4.16,242.676,50,4549300,31.592,68.7
240,2020,14_Kyungnam,C116,1196,1181,10.33,122,41,8,36,0.69,377,260,1.842,1.837,0.836,13422,1.847,0.841,3101,58,17524118,94.835,112,6.774,494,8,0.418,54.6,34017.3,30.67,30.28,32,141,173,2,0,9587320,9587320,55418.035,0,66.1,67.24,0.033,0.237,640.2,714.5,183.9,205.3,6333793802,9,5831793802,6,502000000,3,5363076.886,325365196,6511359427,14976016.4,17956243635,2803371635,2682897690,1050358840,0,3853730475,3282564.3,752.8,847.3,0.47,0.53,1600.1,3.6,87.7,1.49,0.717,408,342,17,0,2,2,0,8,0.2,0.8,400,8.467,338.696,0,57063010,160.02,75.1
241,2020,14_Kyungnam,C117,892,856,17.06,146,18,7,21,0.124,571,71,1.741,1.843,0.839,12022,1.639,0.746,2251,209,21445590,225.467,193,2.336,55,2,0.064,49.6,29814.6,30.76,29.52,379,188,567,2,0,26861940,26861940,47375.556,43103250,64.44,67.44,0.179,0.066,720.3,802.3,212.6,236.8,3015120000,13,1942620000,4,1072500000,9,3522336.449,618193880,2948459042,0,0,1477225420,1452129020,650973100,0,2128198520,2446205.2,540,958,0.36,0.64,1498,3.35,74.48,1.638,0.745,384,203,48,0,4,0,13,5,0,1,0,21.028,0,0,3420400,19.216,68.7
242,2020,14_Kyungnam,C118,775,783,24.78,194,99,7,111,0.164,530,87,1.947,1.903,0.866,9577,1.991,0.906,2888,302,10228084,99.617,78,11.494,2326,9,2.971,53.1,28700.9,32.29,32.63,478,83,561,1,1700000,45771726,47471726,84619.832,45771726,63.16,61.54,0.063,0.096,683.6,712.2,249.6,260.1,4134400000,10,3097500000,3,1036900000,7,5280204.342,10537690,3662331771,0,0,1503866270,1409161430,619668100,0,2123534370,2765018.7,435,879,0.331,0.669,1314,3.22,85.42,1.76,0.905,363,230,30,0,3,0,0,1,0,1,0,1.277,0,0,19606410,106.095,72.9
243,2020,14_Kyungnam,C119,1326,1471,8.16,120,2,2,2,0.56,580,325,2.011,2.034,0.926,19391,1.988,0.905,3111,0,0,33.99,50,44.867,779,66,0.53,18.7,14976.9,30.14,33.43,73,40,113,3,1222000,2387800,3609800,31945.133,3609800,67.69,61.11,0.332,0.157,445,414.3,133.3,124.1,1055200000,4,1048000000,2,7200000,2,717335.146,0,1048391250,8549606.6,12260135855,4115200360,4089608200,1272004150,0,5387204510,3828858.9,1160,818,0.586,0.414,1978,3.19,83.26,1.732,0.788,443,242,50,0,7,0,0,0,0.05,0.95,1900,0,1291.638,50,0,0,69.2
244,2020,14_Kyungnam,C120,1957,2171,0,0,0,0,0,0.334,1065,356,1.826,1.858,0.845,29493,1.795,0.817,7126,363,5385550,150.161,326,0.921,842,2,0.388,37.3,17620.6,32.62,36.18,647,204,851,2,0,17568820,17568820,20644.912,0,62.5,56.07,0.319,0.044,696.1,699,192.4,193.2,4497986370,18,4438086370,15,59900000,3,2071850.009,866297587,5003763124,10809017.9,24763459921,5975990770,5789728990,1939220520,0,7915211290,3510071.5,1446.2,1594.9,0.476,0.524,3041.1,3.39,87.27,1.644,0.79,927,510,90,0,11,9,0,0,0.15,0.85,566.667,4.146,261.016,50,8015070,31.68,71.2
245,2020,14_Kyungnam,C121,5342,5571,3.18,177,8,6,13,0.989,1398,1383,1.967,1.977,0.9,71886,1.957,0.891,11345,164,21427970,35.721,199,15.976,1277,89,0.229,32.7,32509.8,34.03,35.48,1202,205,1407,2,0,254556080,254556080,180921.166,455332960,59.47,57.09,0.084,0.07,192.1,184.2,166.8,160,4830660000,15,4600560000,9,230100000,6,867108.239,108881999,1570909243,9575868.4,53576983862,12615791910,12416010710,4771531250,0,17387323160,3184491.4,3365.1,2956,0.532,0.468,6321.1,3.27,84.37,1.762,0.802,1916,1383,80,6,11,3,0,0,0.147,0.853,580,0.539,104.111,33.333,21895000,54.908,71.6
246,2020,14_Kyungnam,C122,1162,1207,8.04,97,50,8,16,0.543,481,261,1.932,1.911,0.87,11787,1.953,0.889,4563,159,27133217,83.679,101,0.829,296,1,0.245,59.1,32248,29.79,30.95,345,0,345,1,0,0,0,0,0,66.1,63.93,0,0.201,521,505.7,192.9,187.2,3241100000,3,3216100000,2,25000000,1,2685252.693,100206500,3224126612,14239468.1,16987685463,2555671119,2525686119,1117794000,0,3673465119,3236533.1,866,894,0.492,0.508,1760,3.46,88.07,1.434,0.8,461,411,7,0,2,8,0,0,0.133,0.867,650,6.628,538.525,50,11820840,1182.084,81.6
247,2020,14_Kyungnam,C123,2405,2878,24.81,714,19,11,17,0.863,965,833,1.935,1.949,0.887,41491,1.92,0.874,9500,528,11111320,15.288,44,0.347,894,1,0.311,32.5,22359.6,30.83,36.9,1151,20,1171,1,0,0,0,0,0,65.55,55.32,0.156,0.228,55.7,47,113,95.4,0,0,0,0,0,0,0,9090909,51648329,8093519.8,22726603587,8078982450,7991281050,2477743742,0,10556726192,3808342.8,1772.9,1408.4,0.557,0.443,3181.3,3.33,83.82,1.669,0.76,841,650,58,0,7,0,0,0,0.333,0.667,200,0,69.493,50,42632720,222.509,74.9
248,2020,14_Kyungnam,C125,2985,2712,13.94,378,68,6,93,0.227,1220,277,1.813,1.857,0.845,36500,1.769,0.805,9422,521,108096268,2.212,6,1.106,5349,3,1.972,61.7,21780,35.54,32.29,651,423,1074,2,0,20375400,20375400,18971.508,20375400,59.15,65.12,0.056,0.082,253.9,270.4,233.7,248.8,5272024267,29,4571208767,19,700815500,10,1943961.75,404540498,4826159473,11156678.3,34529919295,7651851990,7565774370,2427090450,0,10078942440,3308910.8,1958,1702,0.535,0.465,3660,3.38,85.34,1.644,0.748,1369,843,124,0,24,9,0,0,0.429,0.571,133.333,3.319,49.164,50,16530000,58.153,65.2
249,2020,14_Kyungnam,C126,594,635,20.31,129,90,7,73,0.22,296,65,1.873,1.838,0.836,6952,1.908,0.869,1428,0,0,333.858,212,3.15,330,2,0.52,31.6,22710.3,29.7,31.75,311,0,311,2,0,0,0,0,0,66.67,62.5,0.017,0.299,157.6,511.6,165.5,268.7,1788000000,2,1758000000,1,30000000,1,2815748.031,91563180,1962725940,11732457.2,7637829669,1770879410,1595773040,745612940,0,2516492350,3962980.1,465,469,0.498,0.502,934,3.42,86.23,1.637,0.787,310,232,11,0,4,6,0,0,0.333,0.667,200,9.449,314.961,0,17467570,13.792,83.6
250,2020,15_Chonbuk,C127,886,1152,0,0,0,0,0,3.223,157,506,1.775,1.826,0.831,17867,1.724,0.829,4580,20,480550,0,0,0,0,0,0,32.7,28703.8,27.69,36,0,42,42,0,1613100,0,1613100,38407.143,200000,71.11,55.17,0.081,0.375,192.1,73.7,114,87.5,0,0,0,0,0,0,0,30600000,31155500,9362400.5,10616962182,2916182688,2886582688,1075000000,0,3991182688,3538282.5,750,437,0.632,0.368,1187,3.29,85.36,1.376,0.855,268,247,1,0,0,2,0,0,0.118,0.882,750,1.736,651.042,0,4957000,82.617,80.8
